date	close	x
07-Jan-14	866610.1909	1389118505
08-Jan-14	1089862.958	1389204905
09-Jan-14	594481.5504	1389291305
10-Jan-14	613242.7165	1389377705
11-Jan-14	438326.0669	1389464105
12-Jan-14	383751.2285	1389550505
13-Jan-14	506489.6974	1389636905
14-Jan-14	646592.8078	1389723305
15-Jan-14	717169.6476	1389809705
16-Jan-14	599816.1888	1389896105
17-Jan-14	464566.5207	1389982505
18-Jan-14	358330.7701	1390068905
19-Jan-14	509881.8718	1390155305
20-Jan-14	802067.7525	1390241705
21-Jan-14	615535.6446	1390328105
22-Jan-14	494014.6155	1390414505
23-Jan-14	550964.5397	1390500905
24-Jan-14	693140.3092	1390587305
25-Jan-14	534461.2894	1390673705
26-Jan-14	349814.5246	1390760105
27-Jan-14	789929.9136	1390846505
28-Jan-14	752428.6624	1390932905
29-Jan-14	482434.9297	1391019305
30-Jan-14	545337.9441	1391105705
31-Jan-14	455912.5665	1391192105
01-Feb-14	447692.9537	1391278505
02-Feb-14	455281.8124	1391364905
03-Feb-14	528609.7398	1391451305
04-Feb-14	678275.4604	1391537705
05-Feb-14	653404.2301	1391624105
06-Feb-14	853640.946	1391710505
07-Feb-14	848509.676	1391796905
08-Feb-14	602439.9845	1391883305
09-Feb-14	549603.5616	1391969705
10-Feb-14	640746.2296	1392056105
11-Feb-14	760757.1299	1392142505
12-Feb-14	655177.7497	1392228905
13-Feb-14	601867.4333	1392315305
14-Feb-14	788230.0691	1392401705
15-Feb-14	963549.3909	1392488105
16-Feb-14	535099.1189	1392574505
17-Feb-14	646105.5141	1392660905
18-Feb-14	505763.6542	1392747305
19-Feb-14	457454.0409	1392833705
20-Feb-14	494954.9415	1392920105
21-Feb-14	614005.6789	1393006505
22-Feb-14	376956.4448	1393092905
23-Feb-14	403304.4548	1393179305
24-Feb-14	753715.2434	1393265705
25-Feb-14	1064788.543	1393352105
26-Feb-14	686983.7246	1393438505
27-Feb-14	621739.9374	1393524905
28-Feb-14	601985.1191	1393611305
01-Mar-14	782306.5754	1393697705
02-Mar-14	539949.015	1393784105
03-Mar-14	972398.6137	1393870505
04-Mar-14	1100369.102	1393956905
05-Mar-14	695394.8994	1394043305
06-Mar-14	672160.8058	1394129705
07-Mar-14	2335941.884	1394216105
08-Mar-14	1754719.956	1394302505
09-Mar-14	626975.0602	1394388905
10-Mar-14	1634554.232	1394475305
11-Mar-14	1148465.115	1394561705
12-Mar-14	1002730.268	1394648105
13-Mar-14	814550.5878	1394734505
14-Mar-14	689820.9571	1394820905
15-Mar-14	506583.7197	1394907305
16-Mar-14	462623.861	1394993705
17-Mar-14	517959.6362	1395080105
18-Mar-14	2075230.608	1395166505
19-Mar-14	1602006.393	1395252905
20-Mar-14	775632.1723	1395339305
21-Mar-14	619998.7982	1395425705
22-Mar-14	458635.5372	1395512105
23-Mar-14	313956.4034	1395598505
24-Mar-14	638123.3755	1395684905
